year,mon,day,hour,min,sec,lat_deg,lat_min,lon_deg,lon_min,quality,magnitude,depth_km,nph,rms,eventid,lat_dd,lon_dd,iso_utc
2025,01,03,01,28,44.76,33,59.71,-116,48.76,A,2.6,11.56,212,0.18,40832759,33.99516666666667,-116.81266666666667,2025-01-03T01:28:44.76Z
2025,01,03,02,33,22.95,33,45.75,-115,56.86,A,1.1,3.49,46,0.2,40832775,33.7625,-115.94766666666666,2025-01-03T02:33:22.95Z
2025,01,03,02,34,11.89,33,45.87,-115,57.74,A,0.9,2.06,35,0.18,40832783,33.7645,-115.96233333333333,2025-01-03T02:34:11.89Z
2025,01,03,02,34,30.27,33,45.66,-115,57.44,A,1.0,5.33,17,0.16,40832791,33.761,-115.95733333333334,2025-01-03T02:34:30.27Z
2025,01,03,02,53,14.69,33,45.72,-115,57.06,A,1.1,3.49,52,0.18,40832799,33.762,-115.951,2025-01-03T02:53:14.69Z
2025,01,03,03,21,37.26,33,32.34,-116,47.15,A,0.5,8.8,54,0.16,40832815,33.539,-116.78583333333333,2025-01-03T03:21:37.26Z
2025,01,03,04,30,32.27,33,34.61,-116,43.74,A,0.4,11.88,37,0.15,40832855,33.57683333333333,-116.729,2025-01-03T04:30:32.27Z
2025,01,03,05,20,51.28,35,53.92,-117,42.55,A,0.5,9.29,26,0.11,40832871,35.898666666666664,-117.70916666666666,2025-01-03T05:20:51.28Z
2025,01,03,06,08,40.01,33,34.5,-116,43.87,A,0.4,12.04,35,0.14,40832887,33.575,-116.73116666666667,2025-01-03T06:08:40.01Z
2025,01,03,07,13,50.48,33,59.89,-118,18.28,A,0.9,12.57,24,0.18,40832895,33.99816666666667,-118.30466666666666,2025-01-03T07:13:50.48Z
2025,01,03,07,53,7.78,33,32.04,-116,41.95,A,0.2,3.54,26,0.08,40832903,33.534,-116.69916666666667,2025-01-03T07:53:07.78Z
2025,01,03,08,11,36.83,33,45.88,-115,57.32,A,1.1,1.78,58,0.16,40832911,33.76466666666666,-115.95533333333333,2025-01-03T08:11:36.83Z
2025,01,03,08,24,23.72,33,28.64,-116,55.2,A,0.4,6.75,37,0.17,40832919,33.477333333333334,-116.92,2025-01-03T08:24:23.72Z
2025,01,03,08,24,31.99,33,34.32,-116,43.96,A,0.9,11.71,53,0.15,37693900,33.572,-116.73266666666666,2025-01-03T08:24:31.99Z
2025,01,03,08,41,6.59,33,0.31,-116,21.8,A,0.5,5.32,61,0.16,40832935,33.00516666666667,-116.36333333333333,2025-01-03T08:41:06.59Z
2025,01,03,09,26,7.75,33,24.55,-116,26.23,A,0.4,15.18,46,0.14,40832943,33.409166666666664,-116.43716666666667,2025-01-03T09:26:07.75Z
2025,01,03,09,27,10.6,33,9.96,-116,25.64,A,0.6,12.44,75,0.19,40832951,33.166,-116.42733333333334,2025-01-03T09:27:10.60Z
2025,01,03,09,30,18.37,35,41.47,-117,31.83,A,0.8,6.51,25,0.11,40832959,35.69116666666667,-117.5305,2025-01-03T09:30:18.37Z
2025,01,03,10,08,55.93,33,16.15,-116,25.96,A,1.1,4.69,126,0.2,40832967,33.26916666666666,-116.43266666666666,2025-01-03T10:08:55.93Z
2025,01,03,10,32,13.53,32,20.13,-115,23.51,A,1.6,0.24,38,0.16,40832975,32.3355,-115.39183333333334,2025-01-03T10:32:13.53Z
2025,01,03,11,07,55.13,33,18.64,-116,13.03,A,0.9,5.39,87,0.23,40832983,33.31066666666667,-116.21716666666667,2025-01-03T11:07:55.13Z
2025,01,03,12,10,33.14,33,26.97,-116,23.64,A,0.8,9.98,62,0.17,40832999,33.4495,-116.394,2025-01-03T12:10:33.14Z
2025,01,03,13,41,51.31,33,8.42,-116,38.56,A,0.8,4.77,53,0.19,40833023,33.14033333333333,-116.64266666666667,2025-01-03T13:41:51.31Z
2025,01,03,16,35,15.81,32,46.38,-115,42.16,A,1.1,7.16,27,0.2,40833127,32.773,-115.70266666666667,2025-01-03T16:35:15.81Z
2025,01,03,18,15,0.7,33,2.38,-116,20.86,A,1.2,13.51,86,0.19,40833199,33.03966666666667,-116.34766666666667,2025-01-03T18:15:00.70Z
2025,01,03,18,33,54.02,34,14.56,-116,48.55,A,1.5,1.46,97,0.15,40833223,34.242666666666665,-116.80916666666667,2025-01-03T18:33:54.02Z
